Input Page, Recognition Accuracy, Ground truth size, OCR output size, # of substitutions, # of insertions, # of deletions
Kan_348_P173, 72.9, 155, 160, 37, 5, 0
Kan_169_P134, 69.02, 297, 334, 55, 37, 0
Kan_202_P108, 68.52, 216, 212, 58, 3, 7
Kan_052_P036, 91.76, 85, 84, 6, 0, 1
Kan_201_P066, 77.6, 192, 196, 37, 5, 1
Kan_034_P052, 90.87, 219, 218, 19, 0, 1
Kan_327_P022, 67.95, 78, 79, 24, 1, 0
Kan_165_P042, 98.08, 52, 52, 1, 0, 0
Kan_350_P128, 61.65, 133, 150, 30, 19, 2
Kan_349_P085, 51.39, 216, 203, 82, 5, 18
Kan_261_P263, 57.75, 142, 144, 54, 4, 2
Kan_168_P184, 91.84, 245, 246, 19, 1, 0
Kan_327_P017, 67.29, 107, 107, 31, 2, 2
Kan_344_P163, 78.12, 224, 225, 48, 1, 0
Kan_168_P006, 89.43, 227, 226, 19, 2, 3
Kan_034_P078, 89.19, 185, 182, 15, 1, 4
Kan_046_P119, 85.19, 216, 214, 30, 0, 2
Kan_165_P101, 89.45, 199, 201, 17, 3, 1
Kan_202_P013, 83.33, 150, 149, 18, 3, 4
Kan_046_P051, 79.63, 216, 213, 41, 0, 3
Kan_348_P047, 80.66, 181, 181, 31, 2, 2
Kan_177_P041, 92.81, 139, 140, 9, 1, 0
Kan_219_P103, 54.84, 217, 225, 90, 8, 0
Kan_259_P065, 69.74, 195, 199, 51, 6, 2
Kan_212_P076, 87.8, 205, 208, 22, 3, 0
Kan_035_P029, 78.62, 318, 308, 56, 1, 11
Kan_168_P086, 89.12, 193, 192, 20, 0, 1
Kan_348_P279, 79.19, 173, 173, 36, 0, 0
Kan_213_P206, 74.38, 203, 214, 41, 11, 0
Kan_213_P102, 51.81, 193, 215, 65, 25, 3
Kan_166_P098, 73.44, 128, 122, 26, 1, 7
Kan_259_P069, 68.13, 182, 194, 44, 13, 1
Kan_350_P122, 62.13, 169, 187, 46, 18, 0
Kan_216_P087, 86.81, 326, 333, 32, 9, 2
Kan_168_P056, 88.14, 236, 239, 25, 3, 0
Kan_202_P114, 75.33, 227, 229, 44, 7, 5
Kan_218_P098, 65.52, 319, 325, 76, 20, 14
Kan_179_P088, 91.95, 236, 233, 16, 0, 3
Kan_344_P200, 81.53, 222, 223, 40, 1, 0
Kan_218_P021, 83.17, 309, 321, 40, 12, 0
Kan_349_P155, 41.51, 212, 241, 87, 33, 4
Kan_261_P043, 60.69, 173, 176, 61, 5, 2
Kan_261_P300, 48.44, 225, 230, 101, 10, 5
Kan_219_P261, 65.55, 209, 215, 64, 7, 1
Kan_212_P118, 83.94, 193, 199, 25, 6, 0
Kan_219_P177, 58.54, 205, 211, 79, 6, 0
Kan_168_P282, 92.7, 274, 274, 18, 1, 1
Kan_169_P030, 62.39, 226, 248, 47, 30, 8
Kan_166_P121, 76.42, 123, 116, 22, 0, 7
Kan_179_P083, 85.71, 196, 199, 21, 5, 2
Kan_350_P191, 53.03, 132, 142, 50, 11, 1
