Input Page, Recognition Accuracy, Ground truth size, OCR output size, # of substitutions, # of insertions, # of deletions
Kan_176_P039, 97.98, 1581, 1569, 2, 9, 21
Kan_219_P001, 93.17, 1435, 1448, 73, 19, 6
Kan_218_P091, 91.94, 1663, 1726, 39, 79, 16
Kan_034_P071, 97.8, 1226, 1233, 8, 13, 6
Kan_168_P160, 99.36, 2178, 2184, 4, 8, 2
Kan_349_P095, 93.09, 1418, 1419, 67, 16, 15
Kan_348_P173, 95.51, 1448, 1485, 18, 42, 5
Kan_169_P134, 95.26, 2469, 2528, 46, 65, 6
Kan_202_P108, 95.47, 2008, 2049, 22, 55, 14
Kan_052_P036, 98.29, 644, 644, 1, 5, 5
Kan_201_P066, 95.86, 1377, 1389, 23, 23, 11
Kan_034_P052, 98.49, 1658, 1667, 14, 10, 1
Kan_327_P022, 92.58, 620, 629, 29, 13, 4
Kan_165_P042, 99.36, 472, 474, 1, 2, 0
Kan_350_P128, 91.82, 1027, 1063, 28, 46, 10
Kan_349_P085, 91.01, 1424, 1421, 77, 24, 27
Kan_261_P263, 90.2, 1102, 1136, 50, 46, 12
Kan_168_P184, 99.01, 2123, 2128, 14, 6, 1
Kan_327_P017, 92.48, 798, 821, 25, 29, 6
Kan_344_P163, 95.98, 2138, 2139, 47, 20, 19
Kan_168_P006, 98.55, 1857, 1866, 10, 13, 4
Kan_034_P078, 98.07, 1448, 1452, 14, 9, 5
Kan_046_P119, 97.26, 1713, 1723, 19, 19, 9
Kan_165_P101, 98.19, 1987, 1993, 10, 16, 10
Kan_202_P013, 95.96, 1262, 1263, 32, 10, 9
Kan_046_P051, 97.29, 1882, 1888, 35, 11, 5
Kan_348_P047, 96.2, 1370, 1383, 23, 21, 8
Kan_177_P041, 98.75, 1120, 1133, 1, 13, 0
Kan_219_P103, 89.99, 1808, 1832, 121, 42, 18
Kan_259_P065, 94.02, 1521, 1551, 37, 42, 12
Kan_212_P076, 97.72, 1713, 1731, 9, 24, 6
Kan_035_P029, 97.2, 2718, 2701, 33, 13, 30
Kan_168_P086, 98.36, 1648, 1654, 11, 11, 5
Kan_348_P279, 96.87, 1436, 1439, 24, 12, 9
Kan_213_P206, 95.72, 1657, 1689, 31, 36, 4
